left_x,top_y,width,height,midX,midY
255,137,61,96,285.5,185.0
256,140,61,95,286.5,187.5
259,144,62,91,290.0,189.5
260,146,61,89,290.5,190.5
260,147,62,89,291.0,191.5
260,147,62,89,291.0,191.5
261,145,61,89,291.5,189.5
268,140,57,95,296.5,187.5
269,137,56,98,297.0,186.0
275,139,47,89,298.5,183.5
275,139,47,89,298.5,183.5
277,136,44,93,299.0,182.5
274,18,36,50,292.0,43.0
278,133,43,99,299.5,182.5
276,129,51,106,301.5,182.0
281,17,34,51,298.0,42.5
281,17,34,51,298.0,42.5
282,131,39,102,301.5,182.0
283,128,38,106,302.0,181.0
285,129,36,105,303.0,181.5
286,130,35,102,303.5,181.0
287,128,35,100,304.5,178.0
287,128,35,100,304.5,178.0
290,129,35,97,307.5,177.5
289,129,35,97,306.5,177.5
290,129,33,95,306.5,176.5
291,128,33,95,307.5,175.5
292,127,32,95,308.0,174.5
292,127,32,96,308.0,175.0
291,127,33,96,307.5,175.0
291,127,33,94,307.5,174.0
290,127,34,94,307.0,174.0
289,128,35,94,306.5,175.0
288,130,36,93,306.0,176.5
288,129,36,94,306.0,176.0
288,130,35,94,305.5,177.0
288,130,34,95,305.0,177.5
287,130,35,94,304.5,177.0
285,131,36,93,303.0,177.5
283,130,37,94,301.5,177.0
283,130,38,95,302.0,177.5
282,131,38,93,301.0,177.5
282,136,39,92,301.5,182.0
281,135,39,93,300.5,181.5
281,135,38,94,300.0,182.0
280,134,38,94,299.0,181.0
280,134,38,94,299.0,181.0
280,134,37,96,298.5,182.0
279,134,37,95,297.5,181.5
279,134,38,94,298.0,181.0
279,135,38,93,298.0,181.5
279,136,39,91,298.5,181.5
279,136,39,91,298.5,181.5
278,137,42,89,299.0,181.5
276,139,46,90,299.0,184.0
269,138,62,95,300.0,185.5
266,143,71,92,301.5,189.0
266,148,75,97,303.5,196.5
266,146,72,89,302.0,190.5
280,11,17,51,288.5,36.5
279,15,18,46,288.0,38.0
267,156,71,87,302.5,199.5
266,155,68,88,300.0,199.0
265,155,67,88,298.5,199.0
265,155,67,88,298.5,199.0
278,14,18,48,287.0,38.0
278,12,18,51,287.0,37.5
249,156,72,85,285.0,198.5
248,156,78,86,287.0,199.0
247,156,77,86,285.5,199.0
247,156,76,86,285.0,199.0
248,154,74,88,285.0,198.0
249,153,72,89,285.0,197.5
249,152,68,90,283.0,197.0
249,150,63,93,280.5,196.5
250,149,60,95,280.0,196.5
250,149,60,95,280.0,196.5
279,20,17,52,287.5,46.0
278,20,17,51,286.5,45.5
251,146,52,106,277.0,199.0
276,27,20,45,286.0,49.5
255,150,42,95,276.0,197.5
255,150,42,95,276.0,197.5
255,149,41,94,275.5,196.0
254,146,42,89,275.0,190.5
254,144,42,91,275.0,189.5
255,143,39,92,274.5,189.0
255,142,41,93,275.5,188.5
256,141,39,95,275.5,188.5
257,139,39,97,276.5,187.5
257,138,41,95,277.5,185.5
257,137,41,95,277.5,184.5
259,136,40,95,279.0,183.5
262,136,39,95,281.5,183.5
262,136,39,95,281.5,183.5
264,135,38,94,283.0,182.0
265,134,39,96,284.5,182.0
266,137,38,91,285.0,182.5
268,141,38,83,287.0,182.5
270,141,40,80,290.0,181.0
270,141,40,80,290.0,181.0
272,140,39,75,291.5,177.5
273,141,39,73,292.5,177.5
273,143,41,77,293.5,181.5
277,145,40,76,297.0,183.0
277,146,40,74,297.0,183.0
277,146,40,74,297.0,183.0
278,146,41,75,298.5,183.5
277,146,44,76,299.0,184.0
281,147,43,76,302.5,185.0
284,30,31,60,299.5,60.0
289,29,29,61,303.5,59.5
289,29,29,61,303.5,59.5
294,149,36,96,312.0,197.0
298,150,36,96,316.0,198.0
299,156,36,86,317.0,199.0
298,26,27,63,311.5,57.5
300,27,26,62,313.0,58.0
301,27,26,62,314.0,58.0
303,25,27,65,316.5,57.5
297,163,57,101,325.5,213.5
310,171,43,86,331.5,214.0
312,171,45,87,334.5,214.5
320,168,40,94,340.0,215.0
321,167,41,97,341.5,215.5
321,167,41,97,341.5,215.5
307,23,37,59,325.5,52.5
308,24,36,58,326.0,53.0
309,25,37,56,327.5,53.0
